"seller_id","total_ordenes","calificacion_promedio"
"""16090f2ca825584b5a147ab24aa30c86""","402","4.09"
"""5a8e7d5003a1f221f9e1d6e411de7c23""","138","4.09"
"c826c40d7b19f62a09e2d7c5e7295ee2","353","4.09"
"de722cd6dad950a92b7d4f82673f8833","339","4.09"
"""3d871de0142ce09b7081e2b9d1733cb1""","1076","4.10"
"""79ebd9a61bac3eaf882805ed4ecfa12a""","136","4.10"
"cc419e0650a3c5ba77189a1882b7556a","1690","4.10"
"d94a40fd42351c259927028d163af842","101","4.10"
"""1c68394e931a64f90ea236c5ea590300""","142","4.11"
"""53243585a1d6dc2643021fd1853d8905""","352","4.11"
"""7d76b645482be4a332374e8223836592""","176","4.11"
"""95e03ca3d4146e4011985981aeb959b9""","175","4.11"
"""4869f7a5dfa277a7dca6462dcf3b52b2""","1131","4.12"
"""537eb890efff034a88679788b647c564""","160","4.12"
"""7aa4334be125fcdd2ba64b3180029f14""","217","4.12"
"ceaec5548eefc6e23e6607c5435102e7","201","4.12"
"aaed1309374718fdd995ee4c58c9dfcd","105","4.13"
"d91fb3b7d041e83b64a00a3edfb37e4f","530","4.13"
"""1e8b33f18b4f7598d87f5cbee2282cc2""","123","4.15"
"""59b22a78efb79a4797979612b885db36""","125","4.15"
"a1043bafd471dff536d0c462352beb48","715","4.15"
"""128639473a139ac0f3e5f5ade55873a5""","532","4.16"
"""562fc2f2c2863ab7e79a9e4388a58a14""","258","4.16"
"""669ae81880e08f269a64487cfb287169""","161","4.16"
"f8db351d8c4c4c22c6835c19a46f01b0","666","4.17"
"""4d6d651bd7684af3fffabd5f08d12e5a""","368","4.19"
"""53e4c6e0f4312d4d2107a8c9cddf45cd""","470","4.19"
"""9b013e03b2ab786505a1d3b5c0756754""","172","4.19"
"b2ba3715d723d245138f291a6fe42594","328","4.19"
"c9c7905cffc4ef9ff9f113554423e671","127","4.19"
"""0ea22c1cfbdc755f86b9b54b39c16043""","236","4.20"
"""620c87c171fb2a6dd6e8bb4dec959fc6""","730","4.20"
"""7e93a43ef30c4f03f38b393420bc753a""","324","4.20"
"dbb9b48c841a0e39e21f98e1a6b2ec3e","108","4.20"
"""7008613ea464bad5cb9b83456e1e6a8f""","127","4.21"
"dbc22125167c298ef99da25668e1011f","401","4.21"
"""004c9cd9d87a3c30c522c48c4fc07416""","158","4.23"
"""2a84855fd20af891be03bc5924d2b453""","161","4.23"
"""41b39e28db005d9731d9d485a83b4c38""","191","4.23"
"""7722b1df1b0e383e000397b2c11e3e19""","134","4.23"
"""7a67c85e85bb2ce8582c35f2203ad736""","1159","4.23"
"""85d9eb9ddc5d00ca9336a2219c97bb13""","506","4.23"
"e9bc59e7b60fc3063eb2290deda4cced","213","4.23"
"f5a590cf36251cf1162ea35bef76fe84","114","4.23"
"f7ba60f8c3f99e7ee4042fdef03b70c4","219","4.23"
"""17e34d8224d27a541263c4c64b11a56b""","253","4.24"
"""1c129092bf23f28a5930387c980c0dfc""","201","4.24"
"""1da3aeb70d7989d1e6d9b0e887f97c23""","264","4.24"
"ccc4bbb5f32a6ab2b7066a4130f114e3","187","4.24"
"""1554a68530182680ad5c8b042c3ab563""","247","4.26"
"""2e1c9f22be269ef4643f826c9e650a52""","166","4.26"
"""86ccac0b835037332a596a33b6949ee1""","179","4.26"
"""17a053fcb14bd219540cbde0df490be0""","125","4.27"
"b4ffb71f0cb1b1c3d63fad021ecf93e1","144","4.27"
"c003204e1ab016dfa150abc119207b24","197","4.28"
"db4350fd57ae30082dec7acbaacc17f9","137","4.28"
"""01fdefa7697d26ad920e9e0346d4bd1b""","129","4.29"
"""1a3df491d1c4f1589fc2b934ada68bf2""","166","4.29"
"""48436dade18ac8b2bce089ec2a041202""","135","4.29"
"""7e1fb0a3ebfb01ffb3a7dae98bf3238d""","157","4.29"
"""59fb871bf6f4522a87ba567b42dafecf""","125","4.31"
"""76d5af76d0271110f9af36c92573f765""","131","4.31"
"""77530e9772f57a62c906e1c21538ab82""","319","4.31"
"cab85505710c7cb9b720bceb52b01cee","206","4.31"
"fa1c13f2614d7b5c4749cbc52fecda94","582","4.31"
"a416b6a846a11724393025641d4edd5e","157","4.33"
"""46dc3b2cc0980fb8ec44634e21d2718e""","509","4.34"
"bfd27a966d91cfaafdb25d076585f0da","116","4.34"
"d98eec89afa3380e14463da2aabaea72","168","4.34"
"""6cd68b3ed6d59aaa9fece558ad360c0a""","149","4.35"
"c3cfdc648177fdbbbb35635a37472c53","278","4.35"
"""0db783cfcd3b73998abc6e10e59a102f""","132","4.36"
"""4830e40640734fc1c52cd21127c341d4""","207","4.36"
"ac3508719a1d8f5b7614b798f70af136","103","4.37"
"""7299e27ed73d2ad986de7f7c77d919fa""","337","4.38"
"""8581055ce74af1daba164fdbd55a40de""","385","4.38"
"""9f505651f4a6abe901a56cdc21508025""","397","4.38"
"aafe36600ce604f205b86b5084d3d767","129","4.38"
"""0241d4d5d36f10f80c644447315af0bd""","238","4.39"
"""54a1852d1b8f10312c55e906355666ee""","200","4.39"
"c70c1b0d8ca86052f45a432a38b73958","260","4.39"
"fc906263ca5083d09dce42fe02247800","114","4.39"
"""37be5a7c751166fbc5f8ccba4119e043""","272","4.40"
"""87142160b41353c4e5fca2360caf6f92""","305","4.40"
"a3a38f4affed601eb87a97788c949667","254","4.40"
"""00ee68308b45bc5e2660cd833c3f81cc""","135","4.41"
"""5cf13accae3222c70a9cac40818ae839""","149","4.42"
"""66922902710d126a0e7d26b0e3805106""","151","4.42"
"ef0ace09169ac090589d85746e3e036f","129","4.43"
"""4b9750c8ad28220fe6702d4ecb7c898f""","218","4.44"
"""8f2ce03f928b567e3d56181ae20ae952""","153","4.44"
"""33a6f4b1e7cdc205511e76ba1b6e0186""","105","4.45"
"""6edacfd9f9074789dad6d62ba7950b9c""","207","4.45"
"""289cdb325fb7e7f891c38608bf9e0962""","110","4.46"
"""612170e34b97004b3ba37eae81836b4c""","107","4.46"
"""70eea00b476a314817cefde4aad4f89a""","108","4.46"
"""0bae85eb84b9fb3bd773911e89288d54""","137","4.47"
"""6c7d50c24b3ccd2fd83b44d8bb34e073""","113","4.48"
"de23c3b98a88888289c6f5cc1209054a","163","4.48"
"fe2032dab1a61af8794248c8196565c9","294","4.48"
"febab0275244b9a49a623f0bd613ca2f","109","4.48"
"""4371b634e0efc0e22b09b52907d9d469""","101","4.50"
"fa40cc5b934574b62717c68f3d678b6d","306","4.51"
"""25e6ffe976bd75618accfe16cefcbd0d""","107","4.53"
"edb1ef5e36e0c8cd84eb3c9b003e486d","166","4.53"
"""42b729f859728f5079499127a9c2ef37""","104","4.55"
"""12b9676b00f60f3b700e83af21824c0e""","134","4.57"
"""8c16d1f32a54d92897cc437244442e1b""","108","4.57"
"""3b15288545f8928d3e65a8f949a28291""","104","4.65"
"""080102cd0a76b09e0dcf55fcacc60e05""","123","4.66"
